Supermercado,Fecha_extraccion,Categoria,Articulo,Precio
Fruttissimo Market,04-09-2025 09:56:19,Vegetales,"Aji Cubanela, Lb",0.0
Fruttissimo Market,04-09-2025 09:56:19,Vegetales,Ají Gustoso Pack1/2 Lb,135.0
Fruttissimo Market,04-09-2025 09:56:19,Vegetales,"Ají Jalapeño / Chili Pepper, Paq 8oz",50.0
Fruttissimo Market,04-09-2025 09:56:19,Vegetales,Ajo Selecto Premium Lb,0.0
Fruttissimo Market,04-09-2025 09:56:19,Vegetales,Albahaca Verde / Creen Basil Pack 8oz,210.0
Fruttissimo Market,04-09-2025 09:56:19,Vegetales,"Alcachofa Frescas Importada / Artichoke, Lb",0.0
Fruttissimo Market,04-09-2025 09:56:19,Vegetales,Alfalfa Leasa Brotes / Alfalfa Leasa Sprouts 5 Oz,175.0
Fruttissimo Market,04-09-2025 09:56:19,Vegetales,"Apio Fresco, lb",0.0
Fruttissimo Market,04-09-2025 09:56:19,Vegetales,Auyama Fresca Lb,0.0
Fruttissimo Market,04-09-2025 09:56:19,Vegetales,"Berenjena China, Lb",0.0
Fruttissimo Market,04-09-2025 09:56:19,Vegetales,"Berenjena Morada, lb",0.0
Fruttissimo Market,04-09-2025 09:56:19,Vegetales,"Brocoli Fresco, lb",0.0
Fruttissimo Market,04-09-2025 09:56:19,Vegetales,"Bulbo de Hinojo / Annise Fennel, Lb",50.0
Fruttissimo Market,04-09-2025 09:56:19,Vegetales,Calabaza Tallada De Halloween Grande,1295.0
Fruttissimo Market,04-09-2025 09:56:19,Vegetales,Calabaza Tallada De Halloween Mediana,1250.0
Fruttissimo Market,04-09-2025 09:56:19,Vegetales,"Carrots / Zanahoria Mini, Pack 1 Lb",199.0
Fruttissimo Market,04-09-2025 09:56:19,Vegetales,"Cebolla Amarilla, lb",0.0
Fruttissimo Market,04-09-2025 09:56:19,Vegetales,Cebolla Perla Amarilla Pack 8oz,325.0
Fruttissimo Market,04-09-2025 09:56:19,Vegetales,Cebolla Perla Blanca Pack 10oz,519.0
Fruttissimo Market,04-09-2025 09:56:19,Vegetales,Cebolla Perla Roja Pack 10oz,495.0
