Supermercado,Fecha_extraccion,Categoria,Articulo,Precio
Sirena,27-08-2025 11:56:49,Escolares,RESMA DE PAPEL BOND PREMIUM ABBY 8 X 11 500/1,269.25
Sirena,27-08-2025 11:56:49,Escolares,STABILO GOMA DE BORRAR 1186 - ECO-PACK: PROMOCIÓN 4 X 3,86.25
Sirena,27-08-2025 11:56:49,Escolares,CARTULINA ABBY 130 AZUL CLARO 20 X 26,9.0
Sirena,27-08-2025 11:56:49,Escolares,CUADERNO APOLO DIBUJO COS 200P PL VARIOS MODELOS,63.75
Sirena,27-08-2025 11:56:49,Escolares,SACAPUNTAS MAPED BOOGY 3/1,33.75
Sirena,27-08-2025 11:56:49,Escolares,"LAPIZ DE GRÁFITO, PACK X 8 UNDS. + PROMO 2 LAPICES",74.25
Sirena,27-08-2025 11:56:49,Escolares,JUEGO TEMPERA C/PALETAS Y PINCEL 20ML,119.25
Sirena,27-08-2025 11:56:49,Escolares,ABBY CARTULINA 130 NARANJA 20X26,18.75
Sirena,27-08-2025 11:56:49,Escolares,SET 96 HOJAS PAPEL CONST CRAYOLA 99-3000.,222.75
Sirena,27-08-2025 11:56:49,Escolares,SILICON LIQUIDO SET FACELA 250 ML 156692,187.5
Sirena,27-08-2025 11:56:49,Escolares,GOMA STABILO ECO PACK 6 X 5 1183,51.75
Sirena,27-08-2025 11:56:49,Escolares,ABBY CARTULINA 130 MORADO 20X26,18.75
Sirena,27-08-2025 11:56:49,Escolares,CUADERNO APOLO COLOR LISO COSIDO 200P VARIOS MODELOS,63.75
Sirena,27-08-2025 11:56:49,Escolares,LAPIZ CARBON FACELA #2 CP AMA 11102,86.25
Sirena,27-08-2025 11:56:49,Escolares,SACAPUNTAS MAPED SHAKER,36.75
Sirena,27-08-2025 12:18:03,Nuestras Marcas,HUEVOS GRANDES WALA 30/1,215.0
Sirena,27-08-2025 12:18:03,Nuestras Marcas,CLORO ZERCA GL,76.0
Sirena,27-08-2025 12:18:03,Nuestras Marcas,PAN SOBAO BUENHORNO 10/1,60.0
Sirena,27-08-2025 12:18:03,Nuestras Marcas,PAPEL HIGIENICO WALA 12/1,200.0
Sirena,27-08-2025 12:18:03,Nuestras Marcas,AZUCAR CREMA WALA 5 LB,150.0
Sirena,27-08-2025 12:18:03,Nuestras Marcas,LECHE EVAPORADA WALA 377GR,58.0
Sirena,27-08-2025 12:18:03,Nuestras Marcas,ARROZ SELECTO WALA 10 LB,328.0
Sirena,27-08-2025 12:18:03,Nuestras Marcas,PAPEL TOALLA ZERCA 136 HOJAS,69.0
Sirena,27-08-2025 12:18:03,Nuestras Marcas,LAVAPLATOS ZERCA LIMÓN 1 GL,203.0
Sirena,27-08-2025 12:18:03,Nuestras Marcas,JABON DE CUABA WALA LIQ 3 L,220.0
Sirena,27-08-2025 12:18:03,Nuestras Marcas,ESPAGUETIS ZERCA 400 G,27.0
Sirena,27-08-2025 12:18:03,Nuestras Marcas,SALAMI DEL ARTESANO EXTRA PREMIUM 1 LB.,192.0
Sirena,27-08-2025 12:18:03,Nuestras Marcas,PAPEL HIGIENICO WALA 24/1,395.0
Sirena,27-08-2025 12:18:03,Nuestras Marcas,DESINFECTANTE ZERCA LAVANDA 1 GL,103.0
Sirena,27-08-2025 12:18:03,Nuestras Marcas,MAIZ DULCE ZERCA 425 GR,55.0
Sirena,27-08-2025 12:24:36,Alimentación,FILETE DE PECHUGA POLLO CIBAO LB,161.0
Sirena,27-08-2025 12:24:36,Alimentación,CAFÉ SANTO DOMINGO MOLIDO 1 LB,325.0
Sirena,27-08-2025 12:24:36,Alimentación,POLLO FRESCO CIBAO EMPACADO LB,79.0
Sirena,27-08-2025 12:24:36,Alimentación,CALDO DE GALLINA DOÑA GALLINA 12 UDS,90.0
Sirena,27-08-2025 12:24:36,Alimentación,LECHE RICA LISTAMILK 1 LT,73.0
Sirena,27-08-2025 12:24:36,Alimentación,JAMÓN CASERIO PECHUGA DE PAVO LB. (REBANADO),415.0
Sirena,27-08-2025 12:24:36,Alimentación,LECHE RICA LA VAQUITA 1 LT,59.0
Sirena,27-08-2025 12:24:36,Alimentación,PAN LUMIJOR INTEGRAL FAMILIAR GOURMET.,155.0
Sirena,27-08-2025 12:24:36,Alimentación,QUESO MOZZARELLA SORRENTO REBANADO LB,340.0
Sirena,27-08-2025 12:24:36,Alimentación,GALLETAS DULCES OREO REGULAR 12 UND,207.0
Sirena,27-08-2025 12:24:36,Alimentación,CAFÉ SANTO DOMINGO MOLIDO 1/2 LB,175.0
Sirena,27-08-2025 12:24:36,Alimentación,LECHE EVAPORADA CARNATION UHT 290 ML,59.0
Sirena,27-08-2025 12:24:36,Alimentación,LECHE EVAPORADA CARNATION 312 G,68.0
Sirena,27-08-2025 12:24:36,Alimentación,SALAMI INDUVECA SUPER ESPECIAL 1.47 LB,219.0
Sirena,27-08-2025 12:38:30,Alimentación,,161.0
Sirena,27-08-2025 13:23:58,Frutas y Vegetales,LIMÓN PERSA LB,43.0
Sirena,27-08-2025 13:23:58,Frutas y Vegetales,CEBOLLA ROJA CRIOLLA LB,48.0
Sirena,27-08-2025 13:23:58,Frutas y Vegetales,AJÍ MORRÓN ROJO LB,83.0
Sirena,27-08-2025 13:23:58,Frutas y Vegetales,GUINEO MADURO LB,18.0
Sirena,27-08-2025 13:23:58,Frutas y Vegetales,TOMATE BUGALU LB,43.0
Sirena,27-08-2025 13:23:58,Frutas y Vegetales,ZANAHORIA FRESCA LB,37.0
Sirena,27-08-2025 13:23:58,Frutas y Vegetales,PAPAS SELECTAS (MALLA 5 LBS),230.0
Sirena,27-08-2025 13:23:58,Frutas y Vegetales,AJÍ CUBANELA LB,50.0
Sirena,27-08-2025 13:23:58,Frutas y Vegetales,GUINEO VERDE LB,16.0
Sirena,27-08-2025 13:23:58,Frutas y Vegetales,CILANTRICO X PAQUETE.,48.0
Sirena,27-08-2025 13:23:58,Frutas y Vegetales,BROCOLI FRESCO LB,64.0
Sirena,27-08-2025 13:23:58,Frutas y Vegetales,AGUACATE CRIOLLO X UNIDAD,59.0
Sirena,27-08-2025 13:23:58,Frutas y Vegetales,CEBOLLA AMARILLA LB,48.0
Sirena,27-08-2025 13:23:58,Frutas y Vegetales,LECHUGA REPOLLADA PAQUETE LB,46.0
Sirena,27-08-2025 13:23:58,Frutas y Vegetales,AJO SELECTO. PAQ. 4 UDS.,89.0
Sirena,27-08-2025 13:27:57,Bebidas,JUGO RICA 100% NARANJA SIN AZÚCAR 59 OZ (1/2 GL),260.0
Sirena,27-08-2025 13:27:57,Bebidas,REFRESCO COCA COLA CLÁSICA 2 LT,87.0
Sirena,27-08-2025 13:27:57,Bebidas,MALTA MORENA BOTELLA PLÁSTICA UNIDAD 8 OZ,36.0
Sirena,27-08-2025 13:27:57,Bebidas,JUGO RICA NARANJA UHT 200 ML,27.0
Sirena,27-08-2025 13:27:57,Bebidas,JUGO RICA 100% NARANJA SIN AZÚCAR 1 LT,143.0
Sirena,27-08-2025 13:27:57,Bebidas,JUGO RICA FRUIT PUNCH 64 OZ (1/2 GL),135.0
Sirena,27-08-2025 13:27:57,Bebidas,JUGO SANTAL NECTAR SURTIDOS 6/200 ML,135.0
Sirena,27-08-2025 13:27:57,Bebidas,JUGO RICA 100% NARANJA 59 OZ,210.0
Sirena,27-08-2025 13:27:57,Bebidas,JUGO PETIT SABORES 200ML 6 PACK,110.0
Sirena,27-08-2025 13:27:57,Bebidas,REFRESCO COCA COLA SIN AZÚCAR 355 ML,29.0
Sirena,27-08-2025 13:27:57,Bebidas,REFRESCO COCA COLA CLÁSICA 1.25 LT,72.0
Sirena,27-08-2025 13:27:57,Bebidas,MALTA INDIA 8 OZ,29.0
Sirena,27-08-2025 13:27:57,Bebidas,REFRESCO COCA COLA SIN AZÚCAR 2 LT,85.0
Sirena,27-08-2025 13:27:57,Bebidas,JUGO MOTTS DE MANZANA 64 OZ,275.0
Sirena,27-08-2025 13:27:57,Bebidas,JUGO DEL MONTE NECTAR SABORES VARIADOS 200 ML 6 PACK,120.0
Sirena,27-08-2025 13:41:28,Salud y Bienestar,LECHE ALMENDRA ORIGINAL S AZ SILK 32 OZ,260.0
Sirena,27-08-2025 13:41:28,Salud y Bienestar,ACEITE COCO EV EVA 4 OZ,112.0
Sirena,27-08-2025 13:41:28,Salud y Bienestar,ACEITE COCO EV EVA 14.3 OZ,349.0
Sirena,27-08-2025 13:41:28,Salud y Bienestar,ENDULZANTE SPLENDA 100 SOBRES,390.0
Sirena,27-08-2025 13:41:28,Salud y Bienestar,ENDULZANTE NATURAL SPLENDA 80 SOBRES,395.0
Sirena,27-08-2025 13:41:28,Salud y Bienestar,BEBIDA ALMENDRA SIN AZUCAR NATURES HEART 1 LT,239.0
Sirena,27-08-2025 13:41:28,Salud y Bienestar,KETCHUP SIN AZUCAR PLAST HEINZ 13 OZ,259.0
Sirena,27-08-2025 13:41:28,Salud y Bienestar,ACEITE PAM SPRAY 170G,359.0
Sirena,27-08-2025 13:41:28,Salud y Bienestar,ACEITE PAM SPRAY OLIVA ORGÁNICO 5 OZ,389.0
Sirena,27-08-2025 13:41:28,Salud y Bienestar,TORTITAS DE ARROZ GULLON 130 G,123.0
Sirena,27-08-2025 13:41:28,Salud y Bienestar,GRANOLA NATURAL EVA 380 GR,180.0
Sirena,27-08-2025 13:41:28,Salud y Bienestar,QUINOA NATURAL GOYA 12 OZ,215.0
Sirena,27-08-2025 13:41:28,Salud y Bienestar,GRANOLA ALMENDRA EVA 380 G,210.0
Sirena,27-08-2025 13:41:28,Salud y Bienestar,SEMILLAS DE CHIA EVA 200 GR,169.0
Sirena,27-08-2025 13:41:28,Salud y Bienestar,ENDULZANTE SPLENDA 200 SOBRES,603.0
Sirena,27-08-2025 13:43:14,Cuidado Personal y Belleza,JABÓN ANTIBACTERIAL PROTEX AVENA 3 PACK 110G,155.0
Sirena,27-08-2025 13:43:14,Cuidado Personal y Belleza,GOTERO CRECIMIENTO HAIR PLUS 4 OZ,875.0
Sirena,27-08-2025 13:43:14,Cuidado Personal y Belleza,MASCARILLA NUTRITIVA GINGER MILK BE GENEROUS 17 OZ,1000.0
Sirena,27-08-2025 13:43:14,Cuidado Personal y Belleza,SUAVIZANTE SUAVITEL PRIMAVERAL 1.9 LT,239.0
Sirena,27-08-2025 13:43:14,Cuidado Personal y Belleza,SELLADOR DE PUNTAS PANTENE COLAGENO 90 ML,350.0
Sirena,27-08-2025 13:43:14,Cuidado Personal y Belleza,JABÓN WALA AVENA 110 GR 3PK,83.0
Sirena,27-08-2025 13:43:14,Cuidado Personal y Belleza,ACEITE CORPORAL BIO OIL 25 ML.,204.0
Sirena,27-08-2025 13:43:14,Cuidado Personal y Belleza,SUERO ANTICAIDA HAIR PLUS 16 OZ,625.0
Sirena,27-08-2025 13:43:14,Cuidado Personal y Belleza,SHAMPOO HAIR PLUS CRECIMIENTO 16 OZ,440.0
Sirena,27-08-2025 13:43:14,Cuidado Personal y Belleza,TRATAMIENTO LEMUEL COCO Y JENGIBRE CONSOME 8 OZ,134.25
Sirena,27-08-2025 13:43:14,Cuidado Personal y Belleza,TOALLAS SANITARIAS NOSOTRAS BUENAS NOCHES NATURAL 10 UDS,113.05
Sirena,27-08-2025 13:43:14,Cuidado Personal y Belleza,GOTERO ANTICAIDA GINGER MILK 4ONZ,859.0
Sirena,27-08-2025 13:43:14,Cuidado Personal y Belleza,CREMA DENTAL ANTICARIES COLGATE 75 ML 3 PACK,315.0
Sirena,27-08-2025 13:43:14,Cuidado Personal y Belleza,PRE-POO SAY HI BEAUTY 7OZ,700.0
Sirena,27-08-2025 13:43:14,Cuidado Personal y Belleza,LEAVE IN GINGERMILK BE HONEST 8.5 OZ,635.0
Sirena,27-08-2025 13:46:30,Cuidado Personal y Belleza,,155.0
Sirena,27-08-2025 15:20:27,Hogar y Electrodomésticos,ALMOHADA ATTICO QUEEN 26X18.5,365.0
Sirena,27-08-2025 15:20:27,Hogar y Electrodomésticos,COQUI ORIGINAL 0.07 OZ.,135.0
Sirena,27-08-2025 15:20:27,Hogar y Electrodomésticos,EXPRIMIDOR LIMONES ZJ 4.5CM JDB-097-S1,209.0
Sirena,27-08-2025 15:20:27,Hogar y Electrodomésticos,ALMOHADAS QUEEN PREMIUM CHRISTYS,365.0
Sirena,27-08-2025 15:20:27,Hogar y Electrodomésticos,PILAS DURACELL COPPERTOP AAA 4 UDS,270.0
Sirena,27-08-2025 15:20:27,Hogar y Electrodomésticos,JUEGO 3 CALDEROS IMUSA T/V 18-24-30 CM,4750.0
Sirena,27-08-2025 15:20:27,Hogar y Electrodomésticos,ENVASE AGUACATE WF HF4145481,95.0
Sirena,27-08-2025 15:20:27,Hogar y Electrodomésticos,PILAS DURACELL COPPERTOP AA 4 UDS,270.0
Sirena,27-08-2025 15:20:27,Hogar y Electrodomésticos,CAJA MULTIUSO MAJESTIC 30 LT TRAS,435.0
Sirena,27-08-2025 15:20:27,Hogar y Electrodomésticos,CALDERO IMUSA FUNDIDO 14 CM 505001,825.0
Sirena,27-08-2025 15:20:27,Hogar y Electrodomésticos,SET UTENSILIOS FJ BAMBOO 5/1 C10-A315,250.0
Sirena,27-08-2025 15:20:27,Hogar y Electrodomésticos,SANDWICHERA NIKKEI 264124,995.0
Sirena,27-08-2025 15:20:27,Hogar y Electrodomésticos,COQUI GEL 0.07 OZ.,155.0
Sirena,27-08-2025 15:20:27,Hogar y Electrodomésticos,SARTEN AA TALENT IMUSA 20 CM 502080,995.0
Sirena,27-08-2025 15:20:27,Hogar y Electrodomésticos,BROCHA ATTICO SILICON M/BAMBOO GP14714,125.0
Sirena,27-08-2025 15:49:50,Ropa,CAMISETA INTERIOR CUB CUELLO REDONDO PARA HOMBRE BLANCA TALLA S,315.0
Sirena,27-08-2025 15:49:50,Ropa,BOXER AJUSTADO CUB PARA HOMBRE VARIOS COLORES TALLA XL,295.0
Sirena,27-08-2025 15:49:50,Ropa,BOXER AJUSTADO CUB PARA HOMBRE VARIOS COLORES TALLA L,295.0
Sirena,27-08-2025 15:49:50,Ropa,CAMISILLA CUB PARA HOMBRE BLANCA TALLA XL,335.0
Sirena,27-08-2025 15:49:50,Ropa,CAMISETA INTERIOR CUB CUELLO V PARA HOMBRE BLANCA TALLA L,325.0
Sirena,27-08-2025 15:49:50,Ropa,CAMISETA INTERIOR CUB CUELLO V PARA HOMBRE BLANCA TALLA M,325.0
Sirena,27-08-2025 15:49:50,Ropa,CAMISILLA CUB PARA HOMBRE BLANCA TALLA S,335.0
Sirena,27-08-2025 15:49:50,Ropa,CAMISETA INTERIOR CUB CUELLO REDONDO PARA HOMBRE BLANCA TALLA M,315.0
Sirena,27-08-2025 15:49:50,Ropa,CAMISILLA CUB PARA HOMBRE BLANCA TALLA M,335.0
Sirena,27-08-2025 15:49:50,Ropa,CAMISILLA CUB PARA HOMBRE BLANCA TALLA L,335.0
Sirena,27-08-2025 15:49:50,Ropa,PANTALONCILLO CUB CLASICO PARA HOMBRE BLANCO TALLA M,135.0
Sirena,27-08-2025 15:49:50,Ropa,BOXER AJUSTADO CUB PARA HOMBRE VARIOS COLORES TALLA M,295.0
Sirena,27-08-2025 15:49:50,Ropa,CAMISETA INTERIOR CUB CUELLO V PARA HOMBRE BLANCA TALLA XL,325.0
Sirena,27-08-2025 15:49:50,Ropa,CAMISETA INTERIOR CUB CUELLO REDONDO PARA HOMBRE BLANCA TALLA L,315.0
Sirena,27-08-2025 15:49:50,Ropa,CAMISETA INTERIOR CUB CUELLO REDONDO PARA HOMBRE BLANCA TALLA XL,315.0
Sirena,02-09-2025 13:27:08,Escolares,RESMA DE PAPEL BOND PREMIUM ABBY 8 X 11 500/1,359.0
Sirena,02-09-2025 13:27:08,Escolares,STABILO GOMA DE BORRAR 1186 - ECO-PACK: PROMOCIÓN 4 X 3,115.0
Sirena,02-09-2025 13:27:08,Escolares,CARTULINA ABBY 130 AZUL CLARO 20 X 26,12.0
Sirena,02-09-2025 13:27:08,Escolares,CUADERNO APOLO DIBUJO COS 200P PL VARIOS MODELOS,85.0
Sirena,02-09-2025 13:27:08,Escolares,SACAPUNTAS MAPED BOOGY 3/1,45.0
Sirena,02-09-2025 13:27:08,Escolares,"LAPIZ DE GRÁFITO, PACK X 8 UNDS. + PROMO 2 LAPICES",99.0
Sirena,02-09-2025 13:27:08,Escolares,JUEGO TEMPERA C/PALETAS Y PINCEL 20ML,159.0
Sirena,02-09-2025 13:27:08,Escolares,ABBY CARTULINA 130 NARANJA 20X26,25.0
Sirena,02-09-2025 13:27:08,Escolares,SET 96 HOJAS PAPEL CONST CRAYOLA 99-3000.,297.0
Sirena,02-09-2025 13:27:08,Escolares,SILICON LIQUIDO SET FACELA 250 ML 156692,250.0
Sirena,02-09-2025 13:27:08,Escolares,GOMA STABILO ECO PACK 6 X 5 1183,69.0
Sirena,02-09-2025 13:27:08,Escolares,ABBY CARTULINA 130 MORADO 20X26,25.0
Sirena,02-09-2025 13:27:08,Escolares,CUADERNO APOLO COLOR LISO COSIDO 200P VARIOS MODELOS,85.0
Sirena,02-09-2025 13:27:08,Escolares,LAPIZ CARBON FACELA #2 CP AMA 11102,115.0
Sirena,02-09-2025 13:27:08,Escolares,SACAPUNTAS MAPED SHAKER,49.0
Sirena,02-09-2025 13:50:26,Nuestras Marcas,HUEVOS GRANDES WALA 30/1,215.0
Sirena,02-09-2025 13:50:26,Nuestras Marcas,PAN DE AGUA BUENHORNO 10/1,50.0
Sirena,02-09-2025 13:50:26,Nuestras Marcas,PAN SOBAO BUENHORNO 10/1,60.0
Sirena,02-09-2025 13:50:26,Nuestras Marcas,QUESO MOZZARELLA WALA LONJA,214.0
Sirena,02-09-2025 13:50:26,Nuestras Marcas,PAPEL HIGIENICO WALA 12/1,200.0
Sirena,02-09-2025 13:50:26,Nuestras Marcas,AZUCAR CREMA WALA 5 LB,150.0
Sirena,02-09-2025 13:50:26,Nuestras Marcas,LECHE EVAPORADA WALA 377GR,58.0
Sirena,02-09-2025 13:50:26,Nuestras Marcas,PAN BLANCO WALA VIGA MED 820 G,98.0
Sirena,02-09-2025 13:50:26,Nuestras Marcas,ARROZ SELECTO WALA 10 LB,328.0
Sirena,02-09-2025 13:50:26,Nuestras Marcas,PAPEL TOALLA ZERCA 136 HOJAS,69.0
Sirena,02-09-2025 13:50:26,Nuestras Marcas,LAVAPLATOS ZERCA LIMÓN 1 GL,203.0
Sirena,02-09-2025 13:50:26,Nuestras Marcas,JABON DE CUABA WALA LIQ 3 L,220.0
